-1.8136	1.8084
-1.7827	1.7977
-1.9013	1.6973
-1.6911	1.9983
-1.8390	1.7588
-1.9465	1.7234
-1.6666	1.7556
-1.7039	1.7933
-1.6250	1.9562
-1.9877	1.9998
-1.6293	1.7531
-1.7507	1.9793
-1.9227	1.8854
-1.9423	1.9194
-1.6455	1.8244
-1.6625	1.8192
-1.8187	1.9576
-1.8462	1.6780
-1.9782	1.7285
-1.7509	1.7226
-1.9956	1.9939
-1.7483	1.8333
-1.8761	1.9638
-1.7497	1.6993
-1.7963	1.8288
-1.6466	1.9039
-1.7294	1.9162
-1.6773	1.7536
-1.7300	1.6676
-1.9804	1.9320
-1.9420	1.6577
-1.6485	1.6300
-1.8225	1.9014
-1.9625	1.7193
-1.7466	1.8888
-1.7397	1.6608
-1.7509	1.8006
-1.8793	1.9933
-1.8124	1.6382
-1.9905	1.6186
-1.7768	1.9364
-1.8299	1.9377
-1.9931	1.9343
-1.7855	1.8525
-1.7218	1.9226
-1.7672	1.9471
-1.7319	1.8472
-1.9776	1.6357
-1.6192	1.8571
-1.8661	1.8646
-1.9879	1.8906
-1.8135	1.6055
-1.7476	1.6573
-1.8353	1.9216
-1.8848	1.8561
-1.6132	1.9384
-1.9592	1.9868
-1.9512	1.7716
-1.7696	1.8002
-1.6083	1.8065
-1.7093	1.9270
-1.9467	1.8622
-1.6376	1.8931
-1.7125	1.6053
-1.9472	1.7698
-1.9190	1.9619
-1.7164	1.9552
-1.8891	1.8086
-1.7845	1.6299
-1.6786	1.9457
-1.9186	1.9029
-1.6647	1.7918
-1.7025	1.9567
-1.9271	1.6566
-1.8626	1.6797
-1.8769	1.6383
-1.7984	1.6407
-1.7530	1.6846
-1.9771	1.9772
-1.8423	1.8395
-1.8896	1.8101
-1.7604	1.6989
-1.8092	1.8680
-1.9911	1.6123
-1.7532	1.7010
-1.7574	1.8702
-1.9854	1.9762
-1.9210	1.9887
-1.9134	1.8874
-1.9566	1.7348
-1.8325	1.6579
-1.7191	1.6490
-1.6922	1.8727
-1.9101	1.7095
-1.8464	1.7424
-1.8314	1.6630
-1.8887	1.8776
-1.6506	1.9451
-1.6484	1.7353
-1.9650	1.7218
-0.8390	1.6909
-0.8944	1.7963
-0.9110	1.7453
-1.1511	1.7366
-1.0993	1.7178
-1.1402	1.7157
-1.0733	1.7354
-1.1250	1.8830
-0.8691	1.9413
-0.8725	1.8020
-0.9843	1.6221
-0.8169	1.9501
-1.0236	1.7110
-1.0720	1.6003
-1.1474	1.7133
-0.9176	1.6344
-1.0021	1.9354
-1.1267	1.9559
-0.8361	1.9081
-0.8071	1.9681
-0.8381	1.6359
-0.9386	1.9548
-1.1474	1.8789
-1.0721	1.9008
-1.0584	1.9035
-0.9563	1.8068
-1.1069	1.6078
-0.9405	1.8850
-0.9835	1.8041
-0.9997	1.9461
-0.8646	1.9771
-1.1317	1.6935
-1.1486	1.9232
